No,Nama,Rating,Comments,Links
24,Logitech Z121 2.0 Stereo Speaker USB Compact,2,Kecepatan pengiriman kurang baik sama segel kardus sudah di buka,https://shopee.co.id/Logitech-Z121-2.0-Stereo-Speaker-USB-Compact-i.37146675.1258661141?sp_atk=f71f2217-a1ff-436f-828d-5201d10cdd6a&xptdk=f71f2217-a1ff-436f-828d-5201d10cdd6a
25,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Besok² tlong di cek kembali yaa . Baru pemakaian 1 Minggu sudah rusak tiba² cara pemakaian ikutin aturan nya di chas dahulu baru di pakai,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
26,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"Parah banget dapet barang yang cacat suaranya putus-putus lg denger lagu dan nonton dilaptop, udh dicharge, udh ikutin petunjuk pemakaian awal. Kirim pengembalian barang, udh nyampe gudang dibalikin gak mau dibalikin uangnya! Padahal video2 yg saya kirim udh banyak yg buktiin barangnya rusak. Super kecewa",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
27,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Produk tidak dapat digunakan atau rusak,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
28,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"Packaging nya sangat tidak niat mulai dari kardus sampai dalam kardusnya. Tidak ada bubble wrap atau dilapisin lagi, seperti barang bekas. Kualitas speaker wajar dengan harganya. Dan tidak ada kartu garansi, padahal garansinya 1 tahun.",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
29,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Beli dua barangnya cuma dikirim satu tapi begitulah untung responnya ada tapi itu juga agak slowrespon sih tapi ya udahlah nnti klau mmg barangnya dikirimin lagi artinya nnti aku ubah penilaiannya untuk sekarang bintang segini dlu tp kalu dk sesuai bintangnya mohon maaf pasti gak keubah,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
30,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"pas nyampe penyok, mau nuker tapi males ribet. mudahan bisa di perbaiki dalam packing pengiriman",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
31,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,Sudah saya charger kurang lebih 1.5jam . Gamau nyala. Saya coba nyalain waktu di charger juga cuma beep aja. Gabisa repair..,https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
32,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"pas terima sudah pecah gini , huh",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
33,Thinkplus Lenovo K3 Portable Speaker Stereo Mini HiFi Wireless Speaker,2,"Suaranya sember ,, dan tidak terdapat tombol volume di speaker , sangat aneh",https://shopee.co.id/Thinkplus-Lenovo-K3-Portable-Speaker-Stereo-Mini-HiFi-Wireless-Speaker-i.497337616.10270058665?sp_atk=7259cee7-1d51-476a-89b2-30846836c6e5&xptdk=7259cee7-1d51-476a-89b2-30846836c6e5
34,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-110,2,"Low latency nyaaa parah, ada suara kresek"" nyaa wlopun dgn harga sgitu tp kalau speaker nya tdk jernih sama aja boong, tp untuk build quality bguss",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
35,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-111,2,Lain kali di cek lagi barang yg mo dikirim nya... Jd pelanggan nya ga kecewa...,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
36,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-112,2,"Kecewa sangat,sudah di chat tapi tetep yg dateng merek lain,kurang amanah",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
37,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-113,2,"Diiklannya olike ..hebatnya trik penjual kemasan pertama beneran olike,tapi ternyata barang yg dikasih tipe oase,walau saya tahu itu rebranding dr olike,tapi jelas beda.kualitas barang jg biasa ajh,harga segitu emang ga bisa berharap banyak,jgn mimpi kl bakal terdengar bass yg mantap.",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
38,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-114,2,Barang tak sesuai gambar ada tulisan Olike. Merk malah oase. Tp kalo suara ya harga promo 99rb ya sesuailah biasa aja.,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
39,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-115,2,"Review pertama: Built qualitynya cukup baik, modelnya keren, warna bagus, suara oke2 aja utk harga semurah ini. Jgn dibandingin sm yg harganya jauh lbh mahal, jelas beda kelas. Setelah 1 jam pake: Mau di charge, tp dudukan chargenya malah mendem ke dalam dan akhirnya lepas. Maaf, not recommended",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
40,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-116,2,"sangat tidak rekomed bgt,,, pesenya apa d kasihnya merek apa",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
41,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-117,2,Ko barang yg di kirim ga sesuai yg di gambar ya..pesan OLIKE yg datang OASE ,https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
42,OLIKE SPEAKER BLUETOOTH WIRELESS PORTABLE LOW LATENCY OBS-118,2,"packing barang terlalu lama dan tidak sesuai expectasi, suara mono & bassnya tidak terdengar",https://shopee.co.id/OLIKE-SPEAKER-BLUETOOTH-WIRELESS-PORTABLE-LOW-LATENCY-OBS-110-i.59414059.12036133470?sp_atk=02637eb9-f7e3-465a-9e5e-de3ed015619c&xptdk=02637eb9-f7e3-465a-9e5e-de3ed015619c
43,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Hadeh dateng kaya gini, untung rusaknya dikit",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
44,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,kecewa Aduh lampu Nya tuh,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
45,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,Suara gass bocor jadi kurang enak didengar,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
46,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"suara cempreng, ya sesuai harga, berharap dari testimoni sebelumnya ada bassnya",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
47,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Speakernya mendesis selalu, suaranya hampir kalah dengan desisan speaker.",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
48,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,sebelah doang yg nyala sebelah nya kaga,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
49,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Lumayan tapi gabisa ke laptop, dimasukin ga ada suaranya ga muncul muncul",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
50,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,"Sementara tak kasih nilai bintang 2,,, soalnya pesen 2 dikirim 1,,,baru konfirmasi sama adminnya semoga diganti",https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
51,Multimedia Speaker Advance CLS-101 Super Bass 2.0 Channel speaker,2,Tidak berfungsi,https://shopee.co.id/Multimedia-Speaker-Advance-CLS-101-Super-Bass-2.0-Channel-speaker-i.131417530.13438174918?sp_atk=37d93b5d-da2d-4938-98dc-81404d25e7fc&xptdk=37d93b5d-da2d-4938-98dc-81404d25e7fc
52,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes,2,Bagus banget suaranya kenceng top deh terbaik ini next beli yg lain lagi semoga awet,https://shopee.co.id/ACOME-Super-Bass-Speaker-Bluetooth-A1-A5-A10-A15-A16-A17-A20-5.2-10W-High-Power-3-Playback-Modes-Garansi-Resmi-1-Tahun-i.161425378.5862399082?sp_atk=44c60474-18be-4fdc-b460-df022f0fd83c&xptdk=44c60474-18be-4fdc-b460-df022f0fd83c
53,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes,2,"Cuma bisa bluetooth aja, fm radio ga fungsi, sdcard & usb jga ga fungsi ",https://shopee.co.id/ACOME-Super-Bass-Speaker-Bluetooth-A1-A5-A10-A15-A16-A17-A20-5.2-10W-High-Power-3-Playback-Modes-Garansi-Resmi-1-Tahun-i.161425378.5862399082?sp_atk=44c60474-18be-4fdc-b460-df022f0fd83c&xptdk=44c60474-18be-4fdc-b460-df022f0fd83c
54,ACOME Super Bass Speaker Bluetooth A1 A5 A10 A15 A16 A17 A20 5.2 10W High Power 3 Playback Modes,2,suara ok tpi pengiriman sma brang di cek dlu sbelum dkirim yg berpungsi blotot sma radio tpi radionya juga ga nyimpen sd card ga berpungsi itu aj sran dari saya,https://shopee.co.id/ACOME-Super-Bass-Speaker-Bluetooth-A1-A5-A10-A15-A16-A17-A20-5.2-10W-High-Power-3-Playback-Modes-Garansi-Resmi-1-Tahun-i.161425378.5862399082?sp_atk=44c60474-18be-4fdc-b460-df022f0fd83c&xptdk=44c60474-18be-4fdc-b460-df022f0fd83c
